label,message
ham,Hey Swathi! Are we meeting for lunch today?
spam,Congratulations! You've won a free ₹5000 Amazon voucher. Click here to claim.
ham,Don't forget to bring your notebook for the project review.
spam,You have been selected for a lucky draw! Reply WIN to claim your prize.
ham,Can you send me the notes from yesterday's lecture?
spam,Exclusive offer! Get 90% off on your next recharge. Visit http://freerecharge-offer.com now!
ham,Hi Swathi, please submit the assignment before 5 PM.
spam,URGENT! Your bank account has been suspended. Click the link to verify immediately.
ham,Meeting postponed to tomorrow. Let’s meet at 10 AM instead.
spam,You’ve been chosen to receive a FREE trip to Goa! Confirm your details today!
ham,Please check the new code changes and update me soon.
spam,Win cash rewards worth ₹10,000. Hurry! Offer ends tonight.
ham,The professor asked us to include accuracy and confusion matrix in the report.
spam,You are the lucky winner of a brand new iPhone! Click here to claim now.
ham,Hey, remember to upload the dataset to GitHub after final testing.
spam,Get instant loans at 0% interest! Apply online now.
ham,I’m heading to the library to finish my project report.
spam,Claim your free Netflix subscription for 1 year. Click below!
ham,Did you complete your part of the documentation?
spam,Your Paytm KYC is expiring today. Update now to avoid account block!
ham,See you in the lab tomorrow at 2 PM.
spam,Get rich quick! Join our investment program now.
ham,Can you share the attendance sheet after class?
spam,You have a pending parcel! Confirm your details at www.fakeparcel.com.
ham,Good morning! Don’t forget the presentation slides.
spam,Exclusive! Flat 80% off on branded shoes. Limited time only!
ham,Let’s practice the viva questions together this evening.
spam,Win ₹50,000 cash reward — reply WINNOW to claim!
ham,Please send me the code output screenshot.
spam,Your mobile number has been selected for a lucky draw!
ham,Our exam schedule is uploaded on the notice board.
spam,Get instant rewards by signing up on this website now.
ham,Did you revise the topic for the test tomorrow?
spam,Attention! Your loan application is pre-approved.
ham,Let’s meet at the cafeteria after class.
spam,Claim your bonus now by visiting freeoffers.co.in.
ham,Submit the project report before Monday.
spam,This is not a joke! You’ve won a car. Confirm details immediately!
ham,Can you please check my assignment for errors?
spam,Win an Apple Watch for free! Only for today.
ham,Reminder: Bring your ID card for the lab entry.
spam,Make money from home easily. Limited slots available.
ham,Don’t forget to email the professor about your project.
spam,Win ₹1 lakh by participating in our lucky contest!
ham,The meeting link has been sent to your email.
spam,You are selected for a free course. Enroll before it expires!
ham,Let’s finalize the charts for the report.
spam,Your OTP for transaction verification is 12345.
ham,Do you want to join me for a group study tonight?
spam,Recharge your number now and get ₹200 cashback.
ham,Professor extended the submission date to Friday.
spam,Click here to activate your premium account instantly.
ham,I’ll be a bit late to class today.
spam,Claim your free recharge by clicking on this link.
ham,Please review the model performance graphs.
spam,Limited offer! Flat ₹1000 off on your first purchase.
ham,Send me your phone number to share the project file.
spam,Verify your identity to unlock cash rewards.
ham,I will upload the dataset to GitHub tonight.
spam,Win shopping vouchers worth ₹10,000 today!
ham,We’ll meet for lab work after lunch.
spam,This link gives you access to unlimited downloads. Hurry!
ham,Your professor appreciated the presentation slides.
spam,Get your free insurance policy today.
ham,Can we start the project discussion tomorrow?
spam,Win a free holiday package to Maldives!
ham,I’m uploading the code and results now.
spam,Your credit card has been temporarily locked. Click to restore.
ham,Please check the accuracy of the confusion matrix.
spam,Exclusive deal: Get free WiFi for 1 year.
ham,Send the screenshot of the graph for report.
spam,You have been chosen for a surprise bonus! Visit link now.
ham,Tomorrow’s class is cancelled due to technical reasons.
spam,Claim ₹500 instantly by completing a quick survey.
ham,Let’s merge all our parts of the report tonight.
spam,Alert! Your ATM card has been blocked. Click below to unblock.
ham,The model training completed successfully!
spam,Limited seats available for our special offer. Register now.
ham,Please review the test results once again.
spam,Get paid ₹500 per day from home. Start today!
ham,I’ll share the PowerPoint slides soon.
spam,Your account balance is about to expire. Click here to update.
ham,Team meeting scheduled for 3 PM today.
spam,Activate your wallet now to receive rewards.
ham,Please check your email for the meeting link.
spam,Participate in our online quiz to win exciting prizes.
ham,Upload the screenshots to the shared folder.
spam,Your prize is waiting! Visit now to confirm your delivery.

